"","SampleID","Tree_log","Tree_host","Protocol","Year_since_decay_start","DNA_yields","input","filtered","denoisedF","denoisedR","merged","nonchim","nonbacterial_filtered","decontam","quality_filtered","ASV_number"
"1","C01","birch_01","paper_birch","CTAB",0,2.146875,38164,31923,31869,31873,31729,30979,5997,5997,5942,102
"2","C02","birch_02","paper_birch","CTAB",0,3.72611465,31983,26655,26635,26638,26535,25709,126,126,110,76
"3","C03","birch_03","paper_birch","CTAB",0,6.867088608,34101,29033,29007,28997,28843,27597,310,310,243,86
"4","C04","birch_04","paper_birch","CTAB",0,2.472312704,41194,32908,32899,32905,32808,31923,95,95,NA,NA
"5","C05","birch_05","paper_birch","CTAB",0,4.920634921,46680,39311,39286,39285,39092,37392,949,948,875,116
"6","C06","birch_06","paper_birch","CTAB",0,2.740983607,38108,32577,32563,32566,32440,31240,59,58,NA,NA
"7","C07","birch_07","paper_birch","CTAB",0,3.993610224,42723,36485,36474,36480,36402,35417,141,141,125,52
"8","C08","birch_08","paper_birch","CTAB",0,1.304635762,41036,34147,34142,34133,34076,33634,546,546,527,27
"9","C11","birch_01","paper_birch","CTAB",1,6.699669967,47067,41657,41552,41582,41170,32831,32065,32065,31881,659
"10","C12","birch_02","paper_birch","CTAB",1,3.6,34452,30699,30645,30628,30377,20115,19638,19638,19475,580
"11","C13","birch_03","paper_birch","CTAB",1,8.548387097,38717,34339,34148,34186,33666,22504,21821,21820,21534,690
"12","C14","birch_04","paper_birch","CTAB",1,7.091503268,31399,27665,27576,27578,27305,17600,14667,14667,14594,616
"13","C15","birch_05","paper_birch","CTAB",1,8.284789644,35882,31850,31738,31736,31151,29655,28767,28767,28656,604
"14","C16","birch_06","paper_birch","CTAB",1,5.113268608,39046,34926,34822,34828,34424,26594,25633,25633,25363,643
"15","C17","birch_07","paper_birch","CTAB",1,8.993288591,50186,44590,44332,44363,43510,33324,33160,33160,32659,862
"16","C18","birch_08","paper_birch","CTAB",1,5.064516129,48196,42696,42556,42543,41908,31391,31123,31123,30810,716
"17","C21","birch_01","paper_birch","CTAB",7,7.286432161,50258,43963,43367,43436,42439,41716,41598,41598,39134,1878
"18","C22","birch_02","paper_birch","CTAB",7,7.969924812,39352,33390,32731,32770,31819,30979,30847,30846,28162,2363
"19","C23","birch_03","paper_birch","CTAB",7,8.42364532,35718,30900,30496,30494,29768,26816,26561,26561,25099,1955
"20","C24","birch_04","paper_birch","CTAB",7,6.891566265,35993,31506,30496,30584,29146,28291,28189,28189,24641,2362
"21","C25","birch_05","paper_birch","CTAB",7,16.34615385,35260,30421,29828,29792,28871,26504,25209,25208,23238,2228
"22","C26","birch_06","paper_birch","CTAB",7,6.71641791,37225,32157,31559,31542,30655,28004,27821,27821,25367,2210
"23","C27","birch_07","paper_birch","CTAB",7,6.713615023,96,19,19,19,18,12,11,11,NA,NA
"24","C28","birch_08","paper_birch","CTAB",7,11.01176471,40346,35152,34661,34671,33812,32302,32181,32181,30222,2152
"25","C33","pine_03","red_pine","CTAB",0,6.35725429,30613,24798,24716,24729,24315,23817,704,704,525,190
"26","C34","pine_04","red_pine","CTAB",0,4.012588513,36944,27831,27777,27778,27436,26759,284,284,221,75
"27","C35","pine_05","red_pine","CTAB",0,2.461033634,33733,25524,25485,25481,25183,24721,586,586,443,120
"28","C36","pine_06","red_pine","CTAB",0,1.957060281,40632,32727,32612,32611,32069,23822,23517,23517,23259,490
"29","C37","pine_07","red_pine","CTAB",0,2.796803653,35779,30322,30095,30161,29571,19554,19505,19505,19245,781
"30","C38","pine_08","red_pine","CTAB",0,1.061912226,28213,22404,22398,22397,22267,22117,64,64,NA,NA
"31","C39","pine_09","red_pine","CTAB",0,5.576776165,32054,26379,26350,26364,26081,25557,42,42,NA,NA
"32","C40","pine_10","red_pine","CTAB",0,0.625479662,28616,24015,24008,23995,23862,23790,487,487,396,96
"33","C43","pine_03","red_pine","CTAB",1,3.88671875,41774,36534,36260,36278,35637,31955,31772,31772,31210,1103
"34","C44","pine_04","red_pine","CTAB",1,7.478465153,61316,54176,53564,53686,52498,43729,43561,43560,43092,954
"35","C45","pine_05","red_pine","CTAB",1,5.95599393,51899,45528,44930,45029,43737,32453,31819,31819,30803,1315
"36","C46","pine_06","red_pine","CTAB",1,4.245283019,51692,44539,41588,41407,37883,36245,36124,36113,34870,1208
"37","C47","pine_07","red_pine","CTAB",1,3.064903846,56373,48181,47802,47844,46884,35472,35169,35169,34457,1280
"38","C48","pine_08","red_pine","CTAB",1,8.180428135,52007,46532,46222,46206,45388,33940,33824,33824,33279,841
"39","C49","pine_09","red_pine","CTAB",1,8.123476848,55842,49874,49436,49472,48048,36365,36140,36140,35786,1102
"40","C50","pine_10","red_pine","CTAB",1,4.968454259,52540,46218,45952,45949,45254,37013,36639,36639,36280,1097
"41","C53","pine_03","red_pine","CTAB",7,5.512721665,46242,40974,40492,40544,39411,33834,32824,32824,30875,1864
"42","C54","pine_04","red_pine","CTAB",7,4.99207607,55734,49174,48574,48600,47427,39014,36098,36098,33742,2219
"43","C55","pine_05","red_pine","CTAB",7,4.072580645,53324,46917,46575,46565,45828,32266,30719,30719,29982,1232
"44","C56","pine_06","red_pine","CTAB",7,5.207485761,53330,47267,46872,46905,45835,39490,38958,38958,37889,1522
"45","C57","pine_07","red_pine","CTAB",7,5.611847233,58881,52365,51906,51919,50635,46318,44837,44837,43482,1615
"46","C58","pine_08","red_pine","CTAB",7,2.155172414,43548,38946,38660,38618,37797,33751,33393,33393,32572,1268
"47","C59","pine_09","red_pine","CTAB",7,1.133333333,60284,53784,53391,53382,52039,44825,43676,43676,43062,819
"48","C60","pine_10","red_pine","CTAB",7,2.583465819,50386,45432,45153,45080,44001,41421,41197,41197,40105,1603
"49","Q01","birch_01","paper_birch","QIAGEN",0,1.649659864,45495,36414,36354,36342,36094,33235,2455,2454,2435,74
"50","Q02","birch_02","paper_birch","QIAGEN",0,2.101010101,58704,46613,46514,46526,46113,42267,459,459,377,150
"51","Q03","birch_03","paper_birch","QIAGEN",0,2.850993377,51806,42083,41999,42006,41689,38391,394,394,315,155
"52","Q04","birch_04","paper_birch","QIAGEN",0,2.533557047,52481,41806,41763,41769,41570,39137,173,168,115,60
"53","Q05","birch_05","paper_birch","QIAGEN",0,2.349834983,69126,55677,55610,55618,55341,52299,338,338,275,98
"54","Q06","birch_06","paper_birch","QIAGEN",0,2.565789474,43910,36405,36336,36351,36050,33094,145,145,122,50
"55","Q07","birch_07","paper_birch","QIAGEN",0,2.554098361,44344,34774,34675,34693,34405,31297,448,448,368,98
"56","Q08","birch_08","paper_birch","QIAGEN",0,1.493506494,50710,39172,39036,39060,38746,36051,3008,3008,2915,293
"57","Q11","birch_01","paper_birch","QIAGEN",1,2.588039867,61752,52886,52218,52318,50110,31732,30734,30733,30436,759
"58","Q12","birch_02","paper_birch","QIAGEN",1,1.275409836,60038,49435,48856,48873,45391,24739,23938,23938,23697,641
"59","Q13","birch_03","paper_birch","QIAGEN",1,3.121311475,53578,46635,45842,45977,44312,23410,22824,22823,22530,744
"60","Q14","birch_04","paper_birch","QIAGEN",1,2.198717949,42995,36542,36032,36071,34697,17394,15479,15479,15315,716
"61","Q15","birch_05","paper_birch","QIAGEN",1,4.234527687,47369,40535,39838,39842,37216,23606,22926,22926,22782,634
"62","Q16","birch_06","paper_birch","QIAGEN",1,1.98349835,47772,40225,39492,39540,36173,24563,23589,23580,22953,1114
"63","Q17","birch_07","paper_birch","QIAGEN",1,3.517915309,63763,54684,53639,53726,50662,31361,31120,31120,30524,984
"64","Q18","birch_08","paper_birch","QIAGEN",1,2.344262295,65186,55765,54762,54879,51824,35119,34849,34849,34552,784
"65","Q21","birch_01","paper_birch","QIAGEN",7,7.557251908,48480,43308,42453,42337,40653,40098,40006,40004,37579,1993
"66","Q22","birch_02","paper_birch","QIAGEN",7,8.125,65820,58397,56482,56383,54286,53014,52649,52649,47615,2880
"67","Q23","birch_03","paper_birch","QIAGEN",7,7.529691211,70330,62401,60972,60914,58490,51966,51334,51334,48172,2617
"68","Q24","birch_04","paper_birch","QIAGEN",7,12.11401425,50068,44031,41835,41843,39127,38003,37818,37818,32882,2550
"69","Q25","birch_05","paper_birch","QIAGEN",7,9.681372549,54056,47972,46706,46599,44835,40828,36667,36666,33412,2691
"70","Q26","birch_06","paper_birch","QIAGEN",7,8.419811321,33477,29365,28540,28490,27312,24835,24479,24479,21739,2401
"71","Q27","birch_07","paper_birch","QIAGEN",7,1.94278607,75873,66094,64816,64776,63038,48722,47733,47733,45490,2247
"72","Q28","birch_08","paper_birch","QIAGEN",7,9.004739336,64221,57029,55585,55520,53395,46730,46339,46337,43438,2446
"73","Q33","pine_03","red_pine","QIAGEN",0,6.156274665,52488,41948,41572,41586,40414,37274,2426,2426,1884,457
"74","Q34","pine_04","red_pine","QIAGEN",0,4.996034893,61152,48534,48194,48216,47078,43228,2019,2016,1671,289
"75","Q35","pine_05","red_pine","QIAGEN",0,5.658105939,51585,41662,41364,41406,40415,37246,1350,1350,1065,332
"76","Q36","pine_06","red_pine","QIAGEN",0,0.279136104,60928,49204,48915,48914,48118,31371,31001,31001,30684,547
"77","Q37","pine_07","red_pine","QIAGEN",0,1.125299282,69358,59229,58561,58662,57423,32885,32731,32730,32326,848
"78","Q38","pine_08","red_pine","QIAGEN",0,6.43442623,61046,49523,49263,49249,48257,44086,296,296,248,80
"79","Q39","pine_09","red_pine","QIAGEN",0,9.879518072,61231,49747,49414,49402,48134,43443,351,351,272,91
"80","Q40","pine_10","red_pine","QIAGEN",0,4.242664552,59810,46920,46566,46581,45390,41318,2109,2109,1809,237
"81","Q43","pine_03","red_pine","QIAGEN",1,1.4253703,61506,52032,51268,51344,50144,43046,42725,42725,41763,1376
"82","Q44","pine_04","red_pine","QIAGEN",1,3.981331169,56262,49101,48324,48464,47127,36642,36479,36479,36127,955
"83","Q45","pine_05","red_pine","QIAGEN",1,1.598062954,53776,45658,45016,45059,43888,31758,31522,31522,31139,1053
"84","Q46","pine_06","red_pine","QIAGEN",1,1.45035461,52716,43191,42524,42471,41052,31938,31727,31727,30881,1435
"85","Q47","pine_07","red_pine","QIAGEN",1,0.972405752,60806,50311,49564,49630,47902,34653,34266,34266,33564,1221
"86","Q48","pine_08","red_pine","QIAGEN",1,5.138888889,60032,52923,52157,52232,50757,35157,34811,34810,34410,765
"87","Q49","pine_09","red_pine","QIAGEN",1,4.734925132,50394,43993,43348,43402,42138,31623,31382,31382,30930,1239
"88","Q50","pine_10","red_pine","QIAGEN",1,1.610488391,61539,52219,51438,51482,50163,36578,36104,36104,35685,1053
"89","Q53","pine_03","red_pine","QIAGEN",7,1.000788022,24522,19812,19435,19453,18550,15182,14479,14478,13465,1555
"90","Q54","pine_04","red_pine","QIAGEN",7,2.784455128,55943,48716,47548,47574,45853,37482,35604,35604,33412,2235
"91","Q55","pine_05","red_pine","QIAGEN",7,1.558752998,62667,53955,53071,53093,51741,38386,36277,36277,35432,1420
"92","Q56","pine_06","red_pine","QIAGEN",7,3.547990156,54026,46619,45527,45676,43842,34309,33037,33037,32126,1609
"93","Q57","pine_07","red_pine","QIAGEN",7,2.269230769,65407,57542,56429,56402,53831,40877,37069,37069,35700,1800
"94","Q58","pine_08","red_pine","QIAGEN",7,1.974693252,38292,32749,32034,32029,30833,22942,21297,21297,20743,1056
"95","Q59","pine_09","red_pine","QIAGEN",7,2.061438965,61764,52400,51351,51378,49328,37076,35112,35112,34562,771
"96","Q60","pine_10","red_pine","QIAGEN",7,2.820306205,46410,40120,39400,39354,36283,29652,28435,28434,27582,1562
